study	status	sex	height	heightMin	heightMax	liverWeight	liverWeightPlusSd	liverWeightSd
del1968	healthy	M	162	160	164	1.3574145	1.6829145	0.3255
del1968	healthy	M	167	165	169	1.4902987	1.7072988	0.2170001
del1968	healthy	M	172	170	174	1.5236537	1.8358037	0.31215
del1968	healthy	M	177	175	179	1.6474963	2.0003338	0.3528375
del1968	healthy	M	182	180	184	1.7082596	1.9704679	0.2622083
del1968	healthy	M	187	185	189	1.9225187	2.5331147	0.610596
del1968	healthy	F	162	160	164	1.4716389	1.892218	0.4205791
del1968	healthy	F	167	165	169	1.5232897	1.7357689	0.2124792
del1968	healthy	F	172	170	174	1.5023947	1.8550906	0.3526959
del1968	healthy	F	177	175	179	1.5403414	1.8748832	0.3345418
del1968	healthy	F	182	180	184	1.5059547	1.7457713	0.2398166
del1968	healthy	F	187	185	189	1.4897223	1.7428181	0.2530958

